rpt_dist_name,rpt_dist_name_ordinal
Altadena,0
Angeles National Forest,1
Avacado Heights - Bassett,2
Bellflower,3
Bradbury,4
Burbank,5
Calabasas,6
Canyon Country,7
Carson,8
Castaic,9
Cerritos,10
Channel Islands,11
Charter Oak Islands,12
City of Commerce,13
Covina,14
Cudahy,15
Culver City,16
Del Sur,17
Downey,18
Duarte,19
East La Mirada,20
East Los Angeles,21
East San Gabriel,22
El Monte,23
El Segundo,24
Florence-Graham,25
Franklin Canyon,26
Glendale,27
Glendora,28
Hacienda Heights,29
Hawaiian Gardens,30
Hawthorne,31
Hi Vista,32
Industry,33
Kinneloa Mesa,34
La Canada Flintridge,35
La Crescenta - Montrose,36
La Habra Heights,37
La Mirada,38
La Puente,39
La Verne,40
Lakewood,41
Lancaster,42
Lawndale,43
Lomita,44
Long Beach,45
Los Angeles,46
Lynwood,47
Malibu,48
Maywood,49
Monrovia,50
Monterey Park,51
Newhall,52
Norwalk,53
Paramount,54
Pasadena,55
Pico Rivera,56
Quartz Hill,57
Rancho Palos Verdes,58
Rolling Hills,59
Rolling Hills Estates,60
Rosemead,61
Rowland Heights,62
San Dimas,63
San Francisquito Canyon/Bouquet Canyon,64
San Jose Hills,65
San Pasqual,66
Santa Clarita,67
Sawtelle VA Center,68
South El Monte,69
South Whittier,70
Stevenson Ranch,71
Sylmar,72
Temple City,73
Topanga,74
Topanga Canyon,75
Valinda,76
Valyermo,77
Vernon,78
West Carson,79
West Hollywood,80
Westfield,81
Westmont / West Athens,82
Whittier,83
Willowbrook,84
,85
